epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,27156.9,1.52273,1.25778,1.59241,0.78261,0.49863,0.62318,0.36319,1.8678,1.62488,1.78452,0.00079705,0.00079705,0.00079705
43,27367.3,1.57117,1.30187,1.61018,0.77864,0.5446,0.65486,0.4124,1.70365,1.54462,1.6814,0.0007921,0.0007921,0.0007921
44,27584.3,1.51571,1.23472,1.58198,0.83173,0.52571,0.65707,0.42964,1.65907,1.51431,1.65006,0.00078715,0.00078715,0.00078715
45,27794.9,1.51874,1.26646,1.58315,0.85302,0.542,0.66783,0.41446,1.71184,1.48483,1.68079,0.0007822,0.0007822,0.0007822
46,28004.2,1.4961,1.25787,1.56527,0.8431,0.5446,0.67746,0.43765,1.63483,1.46268,1.65008,0.00077725,0.00077725,0.00077725
47,28215.7,1.48635,1.23558,1.57018,0.77167,0.53515,0.64829,0.40158,1.71701,1.53721,1.67749,0.0007723,0.0007723,0.0007723
48,28427.3,1.49056,1.23255,1.56175,0.79405,0.55022,0.67121,0.44514,1.60464,1.45583,1.63205,0.00076735,0.00076735,0.00076735
49,28637.2,1.47647,1.21361,1.54159,0.82452,0.56207,0.6862,0.42936,1.63236,1.43492,1.64277,0.0007624,0.0007624,0.0007624
50,28853.9,1.50544,1.22894,1.57862,0.80825,0.56768,0.67928,0.44868,1.64691,1.43801,1.66537,0.00075745,0.00075745,0.00075745
51,29062.1,1.4279,1.17514,1.51368,0.83747,0.53528,0.65656,0.4351,1.71555,1.54259,1.69985,0.0007525,0.0007525,0.0007525
52,29275.3,1.45473,1.19805,1.52767,0.84996,0.54687,0.67982,0.44188,1.62659,1.46296,1.59716,0.00074755,0.00074755,0.00074755
53,29486.1,1.47415,1.25256,1.56851,0.85335,0.57293,0.69404,0.43235,1.64212,1.41427,1.64696,0.0007426,0.0007426,0.0007426
54,29707.9,1.46814,1.19922,1.54197,0.82643,0.54457,0.67643,0.42951,1.63015,1.44586,1.62746,0.00073765,0.00073765,0.00073765
55,29926.6,1.42865,1.16607,1.52944,0.77756,0.58689,0.68837,0.45026,1.59897,1.37818,1.61582,0.0007327,0.0007327,0.0007327
56,30153,1.42734,1.15862,1.51766,0.81267,0.56243,0.67326,0.41471,1.69724,1.44427,1.6885,0.00072775,0.00072775,0.00072775
57,30411.9,1.41515,1.16791,1.50721,0.82874,0.54669,0.68662,0.45009,1.59184,1.40697,1.59252,0.0007228,0.0007228,0.0007228
58,30666.8,1.40799,1.18319,1.51536,0.86066,0.57922,0.70375,0.46172,1.5942,1.36888,1.61432,0.00071785,0.00071785,0.00071785
59,30919.5,1.37476,1.11784,1.47902,0.84921,0.54145,0.66729,0.42407,1.71413,1.51195,1.66563,0.0007129,0.0007129,0.0007129
60,31175.8,1.45862,1.18675,1.52601,0.85314,0.56558,0.69517,0.46124,1.56996,1.39547,1.58619,0.00070795,0.00070795,0.00070795
61,31429.3,1.36159,1.11788,1.47778,0.83725,0.55614,0.68378,0.4478,1.64359,1.40923,1.61325,0.000703,0.000703,0.000703
62,31681.4,1.36152,1.11424,1.46988,0.85853,0.56663,0.70134,0.46272,1.57253,1.39606,1.58417,0.00069805,0.00069805,0.00069805
63,31945.9,1.36967,1.09221,1.45882,0.85954,0.57148,0.69959,0.44893,1.6234,1.4004,1.60372,0.0006931,0.0006931,0.0006931
64,32202.4,1.41419,1.12028,1.49949,0.86762,0.52991,0.68143,0.44729,1.58517,1.40692,1.58286,0.00068815,0.00068815,0.00068815
