epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,658.948,0.90522,0.59551,1.02022,0.93491,0.84648,0.91438,0.70854,0.88443,0.54465,1.02196,0.000898525,0.000898525,0.000898525
43,675.052,0.90873,0.59322,1.01572,0.94843,0.83019,0.91622,0.69788,0.90377,0.55192,1.0354,0.00089605,0.00089605,0.00089605
44,691.62,0.87187,0.56775,0.99768,0.92089,0.82696,0.91079,0.69648,0.90806,0.55677,1.02976,0.000893575,0.000893575,0.000893575
45,708.643,0.8799,0.57928,1.0025,0.92752,0.84514,0.91505,0.70414,0.89244,0.57027,1.01621,0.0008911,0.0008911,0.0008911
46,724.672,0.88625,0.58466,1.00956,0.93264,0.85078,0.91682,0.69516,0.90141,0.54999,1.03721,0.000888625,0.000888625,0.000888625
47,740.694,0.9052,0.58345,1.01435,0.94168,0.84075,0.91755,0.70742,0.88048,0.54105,1.02699,0.00088615,0.00088615,0.00088615
48,756.687,0.85992,0.56176,0.99361,0.95036,0.84013,0.91653,0.70576,0.89812,0.54589,1.02819,0.000883675,0.000883675,0.000883675
49,772.337,0.87621,0.5663,1.00246,0.93649,0.84013,0.91174,0.70121,0.88716,0.55652,1.02685,0.0008812,0.0008812,0.0008812
50,787.988,0.8845,0.5835,1.01188,0.93592,0.84639,0.91679,0.70886,0.87249,0.54552,1.02268,0.000878725,0.000878725,0.000878725
51,803.677,0.86622,0.56522,0.99585,0.94013,0.83699,0.91514,0.70699,0.87685,0.53527,1.02375,0.00087625,0.00087625,0.00087625
52,819.857,0.87071,0.56548,0.99911,0.9476,0.83762,0.91785,0.70493,0.89105,0.53459,1.02857,0.000873775,0.000873775,0.000873775
53,836.241,0.88211,0.58027,1.01398,0.93359,0.85392,0.92202,0.7089,0.87696,0.53774,1.02116,0.0008713,0.0008713,0.0008713
