epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2334.37,1.3472,0.8864,0.96385,0.75951,0.48466,0.57576,0.34445,1.33649,0.89526,0.96872,0.00079705,0.00079705,0.00079705
43,2389.41,1.34508,0.87706,0.96083,0.74168,0.48559,0.57418,0.3437,1.33439,0.89735,0.96089,0.0007921,0.0007921,0.0007921
44,2444.67,1.33681,0.88256,0.96087,0.74744,0.4964,0.57935,0.34604,1.33324,0.90376,0.96627,0.00078715,0.00078715,0.00078715
45,2499.66,1.34753,0.87728,0.95845,0.73371,0.50216,0.58084,0.3462,1.34163,0.90339,0.96691,0.0007822,0.0007822,0.0007822
46,2554.66,1.34559,0.8846,0.96374,0.75348,0.48823,0.57614,0.34556,1.32263,0.88427,0.95748,0.00077725,0.00077725,0.00077725
47,2610.07,1.33076,0.87186,0.96177,0.75787,0.48032,0.57804,0.34902,1.31582,0.88104,0.95569,0.0007723,0.0007723,0.0007723
48,2664.85,1.31645,0.86274,0.95836,0.76714,0.48559,0.5796,0.34627,1.33397,0.90409,0.96484,0.00076735,0.00076735,0.00076735
49,2719.96,1.33313,0.8663,0.95731,0.74442,0.5,0.57835,0.34844,1.32513,0.89102,0.95937,0.0007624,0.0007624,0.0007624
50,2775.64,1.32283,0.85853,0.9511,0.77979,0.48151,0.57873,0.35061,1.31285,0.86733,0.95458,0.00075745,0.00075745,0.00075745
51,2831.18,1.33363,0.87065,0.9577,0.75318,0.49907,0.58434,0.35321,1.30816,0.8746,0.95325,0.0007525,0.0007525,0.0007525
52,2886.32,1.31777,0.86243,0.95134,0.78469,0.48511,0.58267,0.3502,1.29455,0.86207,0.95243,0.00074755,0.00074755,0.00074755
53,2941.8,1.32806,0.86556,0.95693,0.77281,0.48247,0.58281,0.35014,1.30693,0.87785,0.95447,0.0007426,0.0007426,0.0007426
54,2996.74,1.33651,0.86854,0.95769,0.7506,0.49856,0.57969,0.34945,1.29444,0.87767,0.95722,0.00073765,0.00073765,0.00073765
55,3051.64,1.30422,0.84324,0.95057,0.74904,0.50336,0.58444,0.35452,1.30686,0.86394,0.95552,0.0007327,0.0007327,0.0007327
